======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATIONS
======================================================================
You can reach key global markets early in the day with FedEx
International First. Delivery is in 1, 2 or 3 business days to
select postal codes. Ship packages up to 150 lbs. (unlimited total
shipment weight). See below for a complete list of the cities
and postal codes served, and our delivery commitment time. For
service details, see FedEx International First in Our Services.

Delivery is available outbound from the U.S. to:
Australia          England             Mexico
Austria            France              Netherlands
Belgium            Germany             Puerto Rico
Brazil             India               Singapore
Canada             Italy               Spain
China              Japan               Switzerland
Denmark            Luxembourg



======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATION POSTAL CODES
======================================================================

Effective: October 2, 2012
City                                              Postal Code                                   Del. By

BRUSSELS                                          1043                                          9:00am
BRUSSELS                                          1044                                          9:00am
BRUSSELS                                          1045                                          9:00am
BRUSSELS                                          1047                                          9:00am
BRUSSELS                                          1048                                          9:00am
BRUSSELS                                          1049                                          9:00am
BRUSSELS                                          1080                                          9:00am
BRUSSELS                                          1100                                          9:00am
BRUSSELS                                          1105                                          9:00am
BRUSSELS                                          1110                                          9:00am
BRUSSELS                                          1160                                          9:00am
BRUSSELS                                          1201                                          9:00am
BRUSSELS AIRPORT REMAILING                        1934                                          9:00am
DEURNE                                            2100                                          9:00am
DIEGEM                                            1831                                          9:00am
EDEGEM                                            2650                                          9:00am
ELEWIJT                                           1982                                          9:00am
ELSENE                                            1050                                          9:00am
ERPS-KWERPS                                       3071                                          9:00am
ETTERBEEK                                         1040                                          9:00am
EVERBERG                                          3078                                          9:00am
EVERE                                             1140                                          9:00am
FOREST                                            1190                                          9:00am
GANSHOREN                                         1083                                          9:00am
GRIMBERGEN                                        1850                                          9:00am
HAREN                                             1130                                          9:00am
HEFFEN                                            2801                                          9:00am
HEMIKSEM                                          2620                                          9:00am
HOBOKEN                                           2660                                          9:00am
HOFSTADE                                          1981                                          9:00am
HUMBEEK                                           1851                                          9:00am
JETTE                                             1090                                          9:00am
KAMPENHOUT                                        1910                                          9:00am
KOEKELBERG                                        1081                                          9:00am
KONTICH                                           2550                                          9:00am
KORTENBERG                                        3070                                          9:00am
KRAAINEM                                          1950                                          9:00am
LAKEN                                             1020                                          9:00am
LEEST                                             2811                                          9:00am
MACHELEN                                          1830                                          9:00am
MECHELEN                                          2800                                          9:00am
MERKSEM                                           2170                                          9:00am
MORTSEL                                           2640                                          9:00am
MUIZEN                                            2812                                          9:00am
NEDER-OVER-HEEMBEEK                               1120                                          9:00am
SCHAARBEEK                                        1030                                          9:00am
SCHELLE                                           2627                                          9:00am
SINT-AGATHA-BERCHEM                               1082                                          9:00am
SINT-GILLIS                                       1060                                          9:00am
SINT-JOOST-TEN-NODE                               1210                                          9:00am
SINT-LAMBRECHTS-WOLUWE                            1200                                          9:00am
SINT-PIETERS-WOLUWE                               1150                                          9:00am
SINT-STEVENS-WOLUWE                               1932                                          9:00am
STEENOKKERZEEL                                    1820                                          9:00am
STERREBEEK                                        1933                                          9:00am
STROMBEEK-BEVER                                   1853                                          9:00am
UKKEL                                             1180                                          9:00am
VILVOORDE                                         1800                                          9:00am
VILVOORDE                                         1804                                          9:00am
VILVOORDE                                         1818                                          9:00am
WATERMAAL-BOSVOORDE                               1170                                          9:00am
WEZEMBEEK-OPPEM                                   1970                                          9:00am
WILRIJK                                           2610                                          9:00am
ZAVENTEM                                          1930                                          9:00am
