=====================================================================
FEDEX FREIGHT ADDITIONAL PICKUP AND DELIVERY CHARGE TIERS BY ZIP CODE
=====================================================================

CONTIGUOUS U.S.
An additional pickup and delivery charge will apply to shipments to/from select contiguous 
U.S. ZIP codes. For a list of the ZIP codes where this charge applies, see below. 
The additional charge applies to shipments rated using FedEx Freight zone-based pricing.

Effective Jan. 7, 2019

FedEx reserves the right in its sole discretion to change, without notice and as frequently 
as it determines, the list of postal codes where a pickup or delivery charge may apply.

========================================
ZIP CODE  ORIGIN TIER	DESTINATION TIER
15870			A			A
15921			A			A
15927			A			A
15930-15931		A			A
15934			A			A
15942-15943		A			A
15945			A			A
15948			A			A
15951-15952		A			A
15955-15956		A			A
15958			A			A
15962-15963		A			A
16110-16111		A			A
16114			A			A
16124-16125		A			A
16130			A			A
16131			A			B
16133-16134		A			A
16151			A			A
16213			A			B
16214			A			A
16217			A			B
16220			A			A
16221			A			B
16222			A			A
16224			A			A
16225			A			B
16230			A			A
16232-16235		A			A
16239			A			B
16240			A			A
16242			A			A
16245			A			A
16248			A			A
16253-16254		A			A
16255			A			B
16256-16258		A			A
16260			A			B
16313			A			A
16316			A			A
16321-16322		A			A
16329			A			A
16333			A			A
16335			A			A
16340			A			A
16347			A			A
16351-16352		A			A
16370			A			A
16372			A			A
16374			A			A
16388			A			A
16401			A			A
16405-16407		A			A
16413			A			A
16416			A			A
16422			A			A
16424			B			B
16432-16436		A			A
16440			A			A
16443			A			A
16475			A			A
16611			A			A
16616			A			A
16620			A			A
16621-16623		A			B
16633-16634		A			A
16638			A			A
16645			A			A
16647			A			B
16650-16652		A			A
16654-16657		A			A
16659			A			A
16661			A			A
16663-16664		A			A
16666-16667		A			A
16669			A			A
16671-16672		A			A
16674			A			B
16677-16681		A			A
16685			A			B
16689			A			B
16691			A			B
16692			A			A
16694			A			B
16698			A			A
16720			A			B
16724			A			A
16728			A			B
16733-16735		A			A
16740			A			A
16743			A			A
16746			A			A
16748			A			A
16750			A			A
16821-16822		A			A
16825-16826		A			A
16829			A			A
16834			A			B
16836-16837		A			A
16839			A			B
16840			A			A
16843			A			A
16845			A			B
16847-16850		A			A
16855			A			A
16858-16860		A			A
16863-16864		A			A
16871			A			B
16872-16874		A			A
16876			A			A
16878-16879		A			A
16881-16882		A			A
16910-16911		A			A
16915			A			B
16920			A			A
16922			A			A
16923			B			C
16926			A			A
16927			A			B
16928-16930		A			A
16937			A			B
16939-16940		A			A
16941			B			C
16942-16943		A			A
16945			A			A
16947			A			A
16948			A			B
16950			A			A
17006			A			A
17021			A			A
17029			A			A
17035			A			A
17037			A			A
17051-17052		A			A
17054			A			A
17056			A			A
17058-17059		A			A
17066			A			A
17071			A			A
17075			A			A
17082			A			A
17094			A			A
17212-17213		A			A
17215			A			A
17217			A			A
17219			A			A
17221			A			A
17223			A			A
17228-17229		A			A
17238-17239		A			A
17241			A			A
17243			A			B
17249			A			B
17253			A			B
17255			A			A
17260			A			A
17264			A			B
17267			A			B
17723			A			B
17724			A			A
17726			A			A
17729			A			B
17731			A			B
17735			A			B
17738			A			B
17739			A			A
17745			A			A
17747-17748		A			A
17750-17751		A			A
17758			A			A
17760			B			C
17764			B			C
17765			A			A
17767			A			A
17768			A			B
17769			A			A
17774			A			A
17776			A			A
17778			B			C
17814			A			A
17829			A			A
17835-17836		A			A
17839			A			A
17841			A			A
17845-17846		A			A
17858-17859		A			A
17878			A			A
17882			A			A
17885			A			A
18328			A			B
18333-18334		A			A
18336			A			B
18337			A			A
18340			B			C
18347-18348		A			A
18350			A			A
18371			A			A
18373			A			A
18403			A			A
18405			A			B
18407			A			A
18410-18411		A			A
18415			A			B
18416			A			A
18417			A			B
18421			A			A
18424			A			A
18425			A			B
18427-18428		A			A
18431			A			A
18433-18434		A			A
18435			A			B
18436-18437		A			A
18438			A			B
18439			A			A
18443			B			B
18444			A			A
18449			A			A
18451-18456		A			A
18457-18458		A			B
18459			A			A
18461			A			A
18463-18464		A			A
18469			A			A
18471-18472		A			A
18473			A			B
18611			A			A
18614			A			B
18616			A			A
18625-18626		A			A
18628			A			B
18631			A			A
18632			A			B
18636			A			A
18810			A			A
18814-18815		A			A
18817			A			A
18827			A			A
18829-18832		A			A
18833			B			B
18837			A			B
18842			A			A
18846-18848		A			A
18850-18851		A			A
18853-18854		A			A
19101-19107		A			A
19930			A			B
19933			A			A
19939			A			A
19941			A			A
19944-19945		A			A
19947			A			A
19950-19951		A			A
19958			A			A
19966-19969		A			A
19970-19971		A			B
20000-20099		G			G
20101-20106		A			A
20108-20113		A			A
20115-20116		A			A
20120-20121		A			A
20124			A			A
20128			A			A
20132			A			A
20136-20137		A			A
20139-20144		A			A
20146			A			A
20148-20149		A			A
20151-20153		A			A
20155-20156		A			A
20164-20165		A			A
20167-20172		A			A
20175-20178		A			A
20189-20196		A			A
20198-20199		A			A
20200-20599		G			G
20606			A			B
20609			A			B
20610			A			A
20612			A			A
20615			A			B
20618-20620		A			B
20621			A			A
20624-20627		A			B
20628			B			C
20629			A			B
20630			B			B
20634			A			B
20635-20636		A			A
20639			A			B
20645			A			B
20650			A			B
20653			A			B
20656-20657		A			B
20659-20662		A			A
20664			A			A
20667			B			B
20670			A			B
20674			B			C
20676			A			A
20678			A			A
20680			B			C
20682			A			B
